,Vehicle,Vehicle,Vehicle,115957,115957,115957,110362,110362,110362
2h,109.148,82.82,108.009,9.426,8.602,13.041,14.362,13.071,8.577
24h,86.526,106.658,106.734,9.209,10.463,8.349,14.868,19.4,14.35
48h,76.191,126.395,90.34,7.894,8.683,5.783,37.263,43.887,40.518
72h,96.738,98.582,104.603,9.96,10.482,8.714,45.507,80.876,71.572
