,Vehicle,Vehicle,Vehicle,115957,115957,115957,110362,110362,110362
2h,119.588,77.724,102.661,5.379,5.599,7.939,6.907,5.58,4.518
24h,92.64,104.372,102.866,5.499,6.366,6.307,6.652,7.876,6.179
48h,101.447,96.037,102.29,5.14,5.611,6.502,25.168,26.332,25.668
72h,102.788,100.378,96.604,5.511,6.448,6.314,46.47,49.974,51.579
