,Vehicle,Vehicle,Vehicle,115957,115957,115957,110362,110362,110362
2h,99.639,105.98,88.883,98.836,101.989,115.112,130.506,122.703,75.97
24h,94.189,100.691,104.897,87.713,85.313,86.888,75.316,145.152,91.501
48h,95.603,81.397,121.671,79.266,79.674,66.913,74.25,61.358,80.497
72h,98.471,97.631,103.706,58.436,77.214,68.724,66.761,79.48,79.606
