,Vehicle,Vehicle,Vehicle,115957,115957,115957,110362,110362,110362
2h,108.987,87.453,103.519,90.25,94.487,99.428,105.009,96.883,94.852
24h,100.901,99.576,99.517,88.732,98.929,93.363,77.932,78.637,77.119
48h,99.938,89.268,110.715,85.374,112.305,98.401,86.7,83.521,87.797
72h,105.159,98.02,96.726,87.804,88.068,92.986,97.086,96.017,91.455
